epoch,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
                      0,                  3.091,                 3.5312,                 3.8546,                0.00514,                0.79584,                0.01652,                0.00489,                 2.5268,                 3.3466,                 3.5402,               0.070195,              0.0033117,              0.0033117
                      1,                 2.6881,                 2.4893,                 3.2502,                 0.4974,                0.34034,                0.35842,                 0.1486,                 2.0418,                 3.3147,                 2.9316,               0.040129,              0.0065792,              0.0065792
                      2,                 2.0681,                 1.7288,                 2.6179,                0.76192,                0.67294,                0.74252,                  0.462,                 1.4452,                 1.7286,                 2.1113,              0.0099972,              0.0097808,              0.0097808
                      3,                 1.6252,                 1.3711,                 2.1678,                0.83789,                0.70178,                0.79097,                0.52998,                 1.3001,                 1.2395,                 1.9335,               0.009703,               0.009703,               0.009703
                      4,                 1.3525,                 1.1318,                 1.8655,                0.92988,                0.81484,                0.89824,                0.63597,                 1.0954,                0.89846,                 1.6459,               0.009703,               0.009703,               0.009703
                      5,                 1.2071,                0.98419,                 1.7108,                0.96959,                0.82755,                0.91907,                0.70302,                0.93299,                0.73369,                 1.5082,               0.009604,               0.009604,               0.009604
                      6,                 1.1314,                0.90424,                 1.6311,                0.95742,                0.86521,                0.93882,                0.71749,                0.89551,                0.66538,                 1.4408,               0.009505,               0.009505,               0.009505
                      7,                 1.0845,                0.84129,                 1.5761,                0.96358,                0.86521,                0.94178,                0.72915,                0.87199,                0.65578,                 1.4476,               0.009406,               0.009406,               0.009406
                      8,                 1.0498,                0.81279,                 1.5378,                0.97562,                0.88305,                0.94949,                0.74063,                0.86224,                0.65969,                 1.4183,               0.009307,               0.009307,               0.009307
                      9,                 1.0021,                0.75998,                  1.498,                0.97562,                0.88702,                0.96336,                 0.7593,                0.82878,                0.56225,                 1.3668,               0.009208,               0.009208,               0.009208
                     10,                0.97789,                 0.7253,                 1.4745,                0.96052,                0.89212,                0.95391,                0.76055,                0.83018,                0.56295,                 1.3826,               0.009109,               0.009109,               0.009109
                     11,                0.95492,                0.71199,                 1.4469,                 0.9502,                0.90764,                0.96539,                0.77278,                0.80341,                0.56814,                  1.342,                0.00901,                0.00901,                0.00901
                     12,                0.94478,                0.70119,                   1.44,                0.95884,                0.90783,                0.96684,                 0.7804,                 0.7901,                0.54199,                 1.2958,               0.008911,               0.008911,               0.008911
                     13,                0.90162,                0.65093,                 1.3966,                0.97729,                0.90684,                0.96866,                0.79028,                0.75037,                0.50085,                 1.2833,               0.008812,               0.008812,               0.008812
                     14,                0.90516,                0.64978,                 1.4009,                0.96264,                0.92765,                0.97635,                0.80396,                0.72276,                0.48331,                 1.2462,               0.008713,               0.008713,               0.008713
                     15,                0.88439,                0.62756,                 1.3768,                0.96805,                0.93261,                0.97823,                0.80199,                0.75526,                0.47161,                 1.2811,               0.008614,               0.008614,               0.008614
                     16,                 0.8716,                0.61298,                 1.3688,                0.97877,                0.91398,                0.97818,                0.80776,                 0.7426,                0.45904,                 1.2627,               0.008515,               0.008515,               0.008515
                     17,                0.86643,                0.61465,                 1.3591,                0.97988,                0.92369,                0.98075,                 0.8128,                0.72048,                0.45242,                 1.2461,               0.008416,               0.008416,               0.008416
                     18,                0.86515,                0.59372,                 1.3454,                0.97907,                 0.9227,                0.97684,                0.81103,                0.72278,                0.46756,                 1.2467,               0.008317,               0.008317,               0.008317
                     19,                0.85432,                0.59124,                 1.3478,                0.97817,                0.93252,                0.98369,                0.82018,                0.71048,                0.42685,                 1.2402,               0.008218,               0.008218,               0.008218
                     20,                0.84304,                0.57801,                  1.332,                0.96716,                 0.9336,                0.98222,                0.82023,                0.70777,                0.43939,                 1.2349,               0.008119,               0.008119,               0.008119
                     21,                 0.8371,                0.57445,                 1.3299,                 0.9722,                0.93578,                0.98078,                 0.8258,                0.69331,                0.41725,                  1.216,                0.00802,                0.00802,                0.00802
                     22,                0.83081,                0.55964,                 1.3253,                0.98152,                 0.9445,                0.98498,                0.82783,                0.69393,                 0.4212,                 1.2188,               0.007921,               0.007921,               0.007921
